city,gu,dong,code
서울시,강남구,개포1동,3430102
서울시,강남구,개포2동,1849781
서울시,강남구,개포3동,1849782
서울시,강남구,개포4동,1849783
서울시,강남구,논현1동,3430064
서울시,강남구,논현2동,2002290
서울시,강남구,대치1동,3430073
서울시,강남구,대치2동,1849769
서울시,강남구,대치4동,1849763
서울시,강남구,도곡1동,3430089
서울시,강남구,도곡2동,1849775
서울시,강남구,삼성1동,3430061
서울시,강남구,삼성2동,2002277
서울시,강남구,세곡동,1647934
서울시,강남구,수서동,1849776
서울시,강남구,신사동,226064
서울시,강남구,압구정동,1321997
서울시,강남구,역삼1동,3430070
서울시,강남구,역삼2동,1849822
서울시,강남구,일원1동,3430079
서울시,강남구,일원본동,1849780
서울시,강남구,청담동,226065
서울시,강동구,강일동,2002441
서울시,강동구,고덕1동,3430008
서울시,강동구,고덕2동,2002455
서울시,강동구,길동,2002349
서울시,강동구,둔촌1동,3430046
서울시,강동구,둔촌2동,2002328
서울시,강동구,명일1동,3430018
서울시,강동구,명일2동,2002340
서울시,강동구,상일동,2002327
서울시,강동구,성내1동,3430038
서울시,강동구,성내2동,2002345
서울시,강동구,성내3동,2002320
서울시,강동구,소계,
서울시,강동구,암사1동,3430017
서울시,강동구,암사2동,2002388
서울시,강동구,암사3동,2002437
서울시,강동구,천호1동,3430020
서울시,강동구,천호2동,2002377
서울시,강동구,천호3동,2002360
서울시,강북구,미아동,225893
서울시,강북구,번1동,3429941
서울시,강북구,번2동,2002571
서울시,강북구,번3동,2002564
서울시,강북구,삼각산동,2332327
서울시,강북구,삼양동,2332330
서울시,강북구,송중동,2332329
서울시,강북구,송천동,2332328
서울시,강북구,수유1동,3429945
서울시,강북구,수유2동,2002678
서울시,강북구,수유3동,2002667
서울시,강북구,우이동,1315884
서울시,강북구,인수동,2332326
서울시,강서구,가양1동,3429991
서울시,강서구,가양2동,2332289
서울시,강서구,가양3동,2332288
서울시,강서구,공항동,2332287
서울시,강서구,등촌1동,3430012
서울시,강서구,등촌2동,2332298
서울시,강서구,등촌3동,2332297
서울시,강서구,발산1동,3430013
서울시,강서구,방화1동,3429999
서울시,강서구,방화2동,2332285
서울시,강서구,방화3동,2332284
서울시,강서구,염창동,2332300
서울시,강서구,우장산동,2332282
서울시,강서구,화곡1동,3430033
서울시,강서구,화곡2동,2332295
서울시,강서구,화곡3동,2332294
서울시,강서구,화곡4동,2332293
서울시,강서구,화곡6동,2332292
서울시,강서구,화곡8동,2332291
서울시,강서구,화곡본동,2332296
서울시,관악구,낙성대동,2332261
서울시,관악구,난곡동,2332252
서울시,관악구,난향동,1849945
서울시,관악구,남현동,1849814
서울시,관악구,대학동,2332255
서울시,관악구,미성동,2332250
서울시,관악구,보라매동,2332264
서울시,관악구,삼성동,2332251
서울시,관악구,서림동,2332258
서울시,관악구,서원동,1316848
서울시,관악구,성현동,2332253
서울시,관악구,신림동,1317453
서울시,관악구,신사동,2332257
서울시,관악구,신원동,1849972
서울시,관악구,은천동,2332254
서울시,관악구,인헌동,2332259
서울시,관악구,조원동,2332256
서울시,관악구,청룡동,225876
서울시,관악구,청림동,2332263
서울시,관악구,행운동,2332262
서울시,광진구,광장동,225883
서울시,광진구,구의1동,3430022
서울시,광진구,구의2동,2002310
서울시,광진구,구의3동,2002346
서울시,광진구,군자동,226069
서울시,광진구,능동,2002308
서울시,광진구,자양1동,3430031
서울시,광진구,자양2동,2002304
서울시,광진구,자양3동,2002331
서울시,광진구,자양4동,2332332
서울시,광진구,중곡1동,3430001
서울시,광진구,중곡2동,2002389
서울시,광진구,중곡3동,2002459
서울시,광진구,중곡4동,2002439
서울시,광진구,화양동,2002375
서울시,구로구,가리봉동,2332271
서울시,구로구,개봉1동,3430068
서울시,구로구,개봉2동,2332275
서울시,구로구,개봉3동,2332274
서울시,구로구,고척1동,3430069
서울시,구로구,고척2동,2332276
서울시,구로구,구로1동,3430088
서울시,구로구,구로2동,2332270
서울시,구로구,구로3동,2332279
서울시,구로구,구로4동,2332278
서울시,구로구,구로5동,2332277
서울시,구로구,수궁동,3430078
서울시,구로구,신도림동,2332281
서울시,구로구,오류1동,3430076
서울시,구로구,오류2동,2332273
서울시,구로구,항동,3353734
서울시,금천구,가산동,2332268
서울시,금천구,독산1동,3430104
서울시,금천구,독산2동,1849875
서울시,금천구,독산3동,1849864
서울시,금천구,독산4동,1849873
서울시,금천구,시흥1동,3430116
서울시,금천구,시흥2동,1849881
서울시,금천구,시흥3동,1849883
서울시,금천구,시흥4동,1849877
서울시,금천구,시흥5동,1849880
서울시,노원구,공릉1동,3429951
서울시,노원구,공릉2동,2002629
서울시,노원구,상계10동,2002638
서울시,노원구,상계1동,3429927
서울시,노원구,상계2동,2002699
서울시,노원구,상계3.4동,2002723
서울시,노원구,상계5동,2002713
서울시,노원구,상계6.7동,2002680
서울시,노원구,상계8동,2002719
서울시,노원구,상계9동,2002721
서울시,노원구,월계1동,3429958
서울시,노원구,월계2동,2002650
서울시,노원구,월계3동,2002563
서울시,노원구,중계1동,3429940
서울시,노원구,중계2.3동,2002670
서울시,노원구,중계4동,2002634
서울시,노원구,중계본동,2002682
서울시,노원구,하계1동,3429944
서울시,노원구,하계2동,2002651
서울시,도봉구,도봉1동,3429926
서울시,도봉구,도봉2동,2002745
서울시,도봉구,방학1동,3429931
서울시,도봉구,방학2동,2002724
서울시,도봉구,방학3동,2002714
서울시,도봉구,쌍문1동,3429935
서울시,도봉구,쌍문2동,2002701
서울시,도봉구,쌍문3동,2002681
서울시,도봉구,쌍문4동,2002698
서울시,도봉구,창1동,3429939
서울시,도봉구,창2동,2002669
서울시,도봉구,창3동,2002659
서울시,도봉구,창4동,2002692
서울시,도봉구,창5동,2002702
서울시,동대문구,답십리1동,3429997
서울시,동대문구,답십리2동,2002469
서울시,동대문구,용신동,2332331
서울시,동대문구,이문1동,3429969
서울시,동대문구,이문2동,2002542
서울시,동대문구,장안1동,3429996
서울시,동대문구,장안2동,2002403
서울시,동대문구,전농1동,3429984
서울시,동대문구,전농2동,2002505
서울시,동대문구,제기동,2002514
서울시,동대문구,청량리동,225838
서울시,동대문구,회기동,2002492
서울시,동대문구,휘경1동,3429974
서울시,동대문구,휘경2동,2002520
서울시,동작구,노량진1동,3430060
서울시,동작구,노량진2동,2002276
서울시,동작구,대방동,2002264
서울시,동작구,사당1동,3430098
서울시,동작구,사당2동,1849843
서울시,동작구,사당3동,1849837
서울시,동작구,사당4동,1849857
서울시,동작구,사당5동,1849840
서울시,동작구,상도1동,2002248
서울시,동작구,상도2동,3430071
서울시,동작구,상도3동,1849825
서울시,동작구,상도4동,1849826
서울시,동작구,신대방1동,3430086
서울시,동작구,신대방2동,1849829
서울시,동작구,흑석동,225874
서울시,마포구,공덕동,226051
서울시,마포구,대흥동,225969
서울시,마포구,도화동,226049
서울시,마포구,망원1동,3430011
서울시,마포구,망원2동,2332321
서울시,마포구,상암동,2332320
서울시,마포구,서강동,3430019
서울시,마포구,서교동,225951
서울시,마포구,성산1동,3430002
서울시,마포구,성산2동,2002460
서울시,마포구,신수동,226045
서울시,마포구,아현동,225833
서울시,마포구,연남동,2002436
서울시,마포구,염리동,226036
서울시,마포구,용강동,225891
서울시,마포구,합정동,2332322
서울시,서대문구,남가좌1동,3429993
서울시,서대문구,남가좌2동,3429993
서울시,서대문구,북가좌1동,3429988
